country,st_conn_rate [%],end_conn_rate [%],grid_cost_ceiling [EUR/MWh],Label,demand_st [GWh],demand_end [GWh],gfa_st [ha],gfa_end [ha],footprint_dh_area [ha],dhPot_2020 [GWh],dhPot_2050 [GWh],supplied_heat_over_grid_lifetime [TWh],gridCost_dist_absolute [MEUR],gridCost_service_pipe_absolute [MEUR],gridCost_total_absolute [MEUR],spCostEn [EUR/MWh],spCostMet (wo. serv. pipe) [EUR/m],trench_len_dist [km],trench_len_serv [km]
AT,0.55,0.8,36.0,1,2.39443,6.4824399999999995,2.703359,12.588846,15,1.3169365,5.185952,0.086,0.72112035,0.45194695,1.1730673,13.59,1097.96,1.06841,0.9838
AT,0.55,0.8,36.0,2,5.39064,18.49584,6.529929,36.011165999999996,23,2.9648520000000005,14.796672000000001,0.233,2.23529985,1.13408143,3.36938129,14.43,1261.45,2.67103,2.4305
AT,0.55,0.8,36.0,3,7.16087,21.597080000000002,7.76,41.660835,15,3.9384785000000004,17.277664,0.282,1.52855384,0.65854083,2.18709464,7.76,1314.11,1.66432,1.38526
AT,0.55,0.8,36.0,4,4.4036599999999995,15.40985,5.3513910000000005,29.996931,1,2.4220129999999997,12.32788,0.195,0.27035347,0.040879,0.31123247,1.6,1699.24,0.18316,0.08599
AT,0.55,0.8,36.0,5,5.07203,8.9864,4.750773000000001,16.927281,44,2.7896165,7.18912,0.134,2.69887689,1.99546503,4.69434195,35.05,1135.65,4.13361,4.25018
AT,0.55,0.8,36.0,6,2.02247,6.84496,2.377266,13.325635,5,1.1123585,5.475968000000001,0.087,0.7616501800000001,0.25712676,1.01877694,11.68,1353.1,0.7529199999999999,0.54088
AT,0.55,0.8,36.0,7,5.361770000000001,9.77657,6.274736,19.276245,45,2.9489735000000006,7.821256000000001,0.145,2.7900737400000004,2.3588067799999997,5.1488805,35.62,1016.3,5.06628,5.23826
AT,0.55,0.8,36.0,8,17.58562,7.73451,12.36592,12.367917,41,9.672091,6.187608,0.22,4.69350025,3.14917186,7.8426721200000005,35.72,1094.81,7.1635,6.6244
AT,0.55,0.8,36.0,9,5.43229,12.168209999999998,5.677117,23.452175,51,2.9877595,9.734568,0.17,2.7289103999999997,1.78435515,4.513265519999999,26.6,1130.71,3.99153,3.84021
AT,0.55,0.8,36.0,10,6.16149,16.845869999999998,7.2992490000000005,32.773755,53,3.3888195000000003,13.476696,0.223,2.3548447799999996,1.6459971299999998,4.00084193,17.91,1083.88,3.69122,3.62804
